Index,DateTime,Measurement,Unit
1,22:32.786,18.0633617,VDC
2,22:33.286,13.8843457,VDC
3,22:33.786,14.3929371941176,VDC
4,22:34.286,14.7683653294118,VDC
5,22:34.786,15.0091044411765,VDC
6,22:35.286,15.1089056294118,VDC
7,22:35.786,15.1224706176471,VDC
8,22:36.286,15.1457176529412,VDC
9,22:36.786,15.1771737176471,VDC
10,22:37.286,15.1895030882353,VDC
11,22:37.786,15.1871551235294,VDC
12,22:38.286,15.2087349705882,VDC
13,22:38.786,15.2312408470588,VDC
14,22:39.286,15.2878339705882,VDC
15,22:39.786,15.3035612352941,VDC
16,22:40.286,15.3035863529412,VDC
17,22:40.786,15.2679935294118,VDC
18,22:41.286,15.1895956117647,VDC
19,22:41.786,15.1046045,VDC
