Index,DateTime,Measurement,Unit
1,22:32.834,17.8952116,VDC
2,22:33.334,14.0368265,VDC
3,22:33.834,13.6627903368421,VDC
4,22:34.334,14.2106353842105,VDC
5,22:34.834,14.3774493947368,VDC
6,22:35.334,14.4746695210526,VDC
7,22:35.834,14.4945970210526,VDC
8,22:36.334,14.5040149473684,VDC
9,22:36.834,14.4787335263158,VDC
10,22:37.334,14.4531265105263,VDC
11,22:37.834,14.4565371473684,VDC
12,22:38.334,14.4646086578947,VDC
13,22:38.834,14.4813992473684,VDC
14,22:39.334,14.5085223052632,VDC
15,22:39.834,14.5403686105263,VDC
16,22:40.334,14.5572382052632,VDC
17,22:40.834,14.5650815,VDC
18,22:41.334,14.5600136105263,VDC
19,22:41.834,14.5626733,VDC
20,22:42.334,14.4761677631579,VDC
21,22:42.834,14.3643147,VDC
